"time","power","units","fan 0","fan 1","fan 2","temp 0","temp 1","temp 2","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s",
"21/03/2022 03:55:00",305,3,60,50,47,51,52,64,21256432,28299155,27224110,
"21/03/2022 04:00:00",298,3,60,50,47,51,52,64,21247943,28359642,27231400,
"21/03/2022 04:05:00",299,3,60,50,47,51,52,64,21249127,28361257,27227347,
"21/03/2022 04:10:00",300,3,60,50,47,51,52,64,21243749,28360461,27221681,
"21/03/2022 04:15:00",300,3,60,50,47,51,52,64,21234111,28312944,27222488,
"21/03/2022 04:20:00",302,3,60,50,47,51,52,64,21244308,28349989,27231396,
"21/03/2022 04:25:00",300,3,60,50,47,51,52,64,21262565,28328953,27212009,
"21/03/2022 04:30:00",301,3,60,49,47,51,52,64,21260652,28322489,27241126,
"21/03/2022 04:35:00",298,3,60,49,47,51,52,64,21252141,28358837,27235449,
"21/03/2022 04:40:00",299,3,60,50,47,51,52,64,21227950,28338696,27224125,
"21/03/2022 04:45:00",302,3,60,50,47,51,52,64,21264928,28353177,27219251,
"21/03/2022 04:50:00",299,3,60,50,47,51,52,64,21253982,28330547,27212800,
"21/03/2022 04:55:00",300,3,60,50,47,51,52,64,21235853,28329791,27228156,
"21/03/2022 05:00:00",302,3,60,50,47,51,52,64,21237043,28335409,27209571,
"21/03/2022 05:05:00",300,3,60,50,47,51,52,64,21258232,28368546,27203082,
"21/03/2022 05:10:00",299,3,60,50,47,51,52,64,21261263,28342721,27220868,
"21/03/2022 05:15:00",301,3,60,50,47,51,52,64,21226181,28344327,27227351,
"21/03/2022 05:20:00",299,3,60,50,47,51,52,64,21241241,28371780,27228158,
"21/03/2022 05:25:00",299,3,60,50,47,51,52,64,21257030,28353982,27219261,
"21/03/2022 05:30:00",301,3,60,50,47,51,52,64,21235802,28362067,27208743,
"21/03/2022 05:35:00",298,3,60,50,47,51,52,64,21216515,28345924,27224918,
"21/03/2022 05:40:00",301,3,60,50,47,51,51,64,21239453,28275896,27216842,
"21/03/2022 05:45:00",293,3,60,50,47,50,51,63,21250365,28338640,27228966,
"21/03/2022 05:50:00",302,3,60,50,47,51,52,64,21239457,28308843,27231400,
"21/03/2022 05:55:00",300,3,60,50,47,51,52,64,21255813,28359663,27219273,
"21/03/2022 06:00:00",295,3,60,50,47,51,52,64,21240072,28358019,27228157,
"21/03/2022 06:05:00",299,3,60,48,47,51,52,64,21254056,28280657,27230590,
"21/03/2022 06:10:00",298,3,60,50,47,51,52,64,21238835,28356408,27241125,
"21/03/2022 06:15:00",301,3,60,50,47,51,52,64,21244956,28331494,27226557,
"21/03/2022 06:20:00",290,3,60,50,47,51,52,64,21246728,28352381,27220871,
"21/03/2022 06:25:00",300,3,60,50,47,51,52,64,21264969,28349162,27231399,
"21/03/2022 06:30:00",301,3,60,50,47,51,52,64,21253965,28345903,27223296,
"21/03/2022 06:35:00",296,3,60,50,47,51,52,64,21249775,28349128,27225730,
"21/03/2022 06:40:00",301,3,60,50,47,51,52,64,21230493,28362882,27223309,
"21/03/2022 06:45:00",295,3,60,50,47,50,51,63,21261867,28351668,27227351,
"21/03/2022 06:50:00",300,3,60,50,47,51,52,64,21256492,28345205,27218439,
"21/03/2022 06:55:00",298,3,60,50,47,51,52,64,21272166,28362074,27233830,
"21/03/2022 07:00:00",299,3,60,50,47,51,52,64,21245520,28353197,27224115,
"21/03/2022 07:05:00",301,3,60,50,47,51,52,64,21251547,28373412,27228969,
"21/03/2022 07:10:00",304,3,60,50,47,51,52,64,21244270,28328956,27215247,
"21/03/2022 07:15:00",302,3,60,50,47,51,52,64,21266729,28359652,27228163,
"21/03/2022 07:20:00",299,3,60,50,47,51,52,64,21270349,28359666,27237073,
"21/03/2022 07:25:00",299,3,60,50,47,51,52,64,21258231,28335397,27225738,
"21/03/2022 07:30:00",300,3,60,50,47,51,52,64,21233426,28362877,27225735,
"21/03/2022 07:35:00",300,3,60,50,47,51,52,64,21257655,28370968,27214409,
"21/03/2022 07:40:00",299,3,60,50,47,51,52,64,21252150,28338647,27215209,
"21/03/2022 07:45:00",301,3,60,50,47,51,52,64,21243091,28329774,27222488,
"21/03/2022 07:50:00",301,3,60,50,47,51,52,64,21247334,28361265,27232209,
"21/03/2022 07:55:00",303,3,60,50,47,51,52,64,21255797,28361266,27213581,
"21/03/2022 08:00:00",302,3,60,50,47,51,52,64,21233405,28345949,27224920,
"21/03/2022 08:05:00",303,3,60,50,47,51,52,64,21259423,28312094,27228970,
"21/03/2022 08:10:00",299,3,60,50,47,51,52,64,21235855,28330544,27214419,
"21/03/2022 08:15:00",298,3,60,50,47,51,52,64,21230464,28319252,27220057,
