"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s","Unit 4 ethash H/s","Unit 5 ethash H/s",
"18/03/2022 22:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 23:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"19/03/2022 00:45:00",264,4,68,68,68,70,0,34,46,47,57,0,0,26935902,26962560,27906634,0,
"19/03/2022 00:50:00",228,4,68,68,68,70,0,39,43,42,43,0,29249400,29249400,29250249,32931529,0,
"19/03/2022 00:55:00",229,4,68,68,68,70,0,39,44,42,43,0,29246855,29246007,29246855,32930569,0,
"19/03/2022 01:00:00",226,4,68,68,68,70,0,39,43,42,43,0,29245159,29247703,29246854,32927689,0,
"19/03/2022 01:05:00",227,4,68,68,68,70,0,39,43,42,43,0,29248552,29247703,29250248,32929609,0,
"19/03/2022 01:10:00",229,4,40,40,40,30,0,41,46,45,49,0,29242613,29240917,29240917,32923851,0,
"19/03/2022 01:15:00",229,4,28,28,28,30,0,42,49,49,59,0,29247703,29249400,29248552,32930568,0,
"19/03/2022 01:20:00",231,4,28,28,28,30,0,42,49,48,61,0,29243462,29244310,29245158,32929609,0,
"19/03/2022 01:25:00",232,4,28,28,28,30,0,42,48,48,61,0,29244309,29244309,29245157,32931528,0,
"19/03/2022 01:30:00",232,4,28,28,28,30,0,42,49,49,61,0,29252794,29249400,29251096,32929609,0,
"19/03/2022 01:35:00",232,4,28,28,28,30,0,42,49,49,61,0,29244310,29245158,29245160,32929609,0,
"19/03/2022 01:40:00",231,4,28,28,28,30,0,41,48,49,61,0,29246007,29246006,29245157,32927688,0,
"19/03/2022 01:45:00",232,4,28,28,28,30,0,41,48,48,61,0,29248551,29249400,29249400,32930569,0,
